00488_06747	Loaded_Language	17	47
00488_06747	Repetition	520	530
00488_06747	Repetition	367	377
00488_06747	Repetition	940	950
00488_06747	Repetition	1048	1058
00488_06747	Black-and-White_Fallacy	197	288
00488_06747	Loaded_Language	455	468
00488_06747	Loaded_Language	479	501
00488_06747	Name_Calling,Labeling	704	722
00488_06747	Name_Calling,Labeling	820	845
00488_06747	Loaded_Language	859	877
00488_06747	Name_Calling,Labeling	1102	1124
00488_06747	Repetition	1289	1296
00488_06747	Loaded_Language	1344	1358
00488_06747	Repetition	1680	1693
00488_06747	Repetition	1703	1716
00488_06747	Black-and-White_Fallacy	1673	1693
00488_06747	Black-and-White_Fallacy	1648	1671
00488_06747	Black-and-White_Fallacy	1695	1716
00488_06747	Flag-Waving	1718	1730
00488_06747	Loaded_Language	1500	1524
00488_06747	Loaded_Language	1197	1218
00488_06747	Loaded_Language	1243	1264
00488_06747	Loaded_Language	1289	1296
00488_06747	Causal_Oversimplification	1406	1455
00488_06747	Exaggeration,Minimisation	1410	1415
00488_06747	Exaggeration,Minimisation	1435	1455
00488_06747	Loaded_Language	1560	1581
00488_06747	Loaded_Language	1532	1552
00488_06747	Exaggeration,Minimisation	1593	1608
00488_06747	Exaggeration,Minimisation	1610	1625
00488_06747	Exaggeration,Minimisation	1627	1646
00488_06747	Black-and-White_Fallacy	1593	1608
00488_06747	Repetition	1610	1617
00488_06747	Repetition	1627	1634
00488_06747	Black-and-White_Fallacy	1610	1625
00488_06747	Black-and-White_Fallacy	1627	1646
00488_06747	Slogans	1457	1492
00488_06747	Slogans	1842	1858
00488_06747	Flag-Waving	1860	1906
00488_06747	Slogans	1718	1730
00488_06747	Loaded_Language	1773	1785
00488_06747	Loaded_Language	1037	1046
00488_06747	Loaded_Language	1583	1591
